year,zipcode,type_complain
2011,11421,492
2011,11422,295
2011,11423,572
2011,11426,35
2011,11427,165
2011,11428,199
2011,11429,220
2011,11432,770
2011,11433,627
2011,11434,820
2011,11435,799
2011,11436,212
2011,11691,1349
2011,11692,400
2011,11693,186
2011,11694,267
2011,11697,1
2012,10001,344
2012,10002,1264
2012,10003,944
2012,10004,64
2012,10005,90
2012,10006,23
2012,10007,10
2012,10009,1653
2012,10010,346
2012,10011,741
2012,10012,402
2012,10013,361
2012,10014,639
2012,10016,553
2012,10017,78
2012,10018,200
2012,10019,755
2012,10021,280
2012,10022,313
2012,10023,429
2012,10024,903
2012,10025,2358
2012,10026,1337
2012,10027,2019
2012,10028,624
2012,10029,1466
2012,10030,1295
2012,10031,3645
2012,10032,3197
2012,10033,2598
2012,10034,3359
2012,10035,985
2012,10036,577
2012,10037,417
2012,10038,131
2012,10039,1010
2012,10040,4873
2012,10044,8
2012,10065,314
2012,10069,2
2012,10075,290
2012,10128,717
2012,10280,3
2012,10301,405
2012,10302,199
2012,10303,174
2012,10304,458
2012,10305,155
2012,10306,195
2012,10307,25
2012,10308,7
2012,10309,21
2012,10310,131
2012,10312,22
2012,10314,79
2012,10451,2077
2012,10452,4858
2012,10453,4215
2012,10454,801
2012,10455,1459
2012,10456,3737
2012,10457,3617
2012,10458,6018
2012,10459,1993
2012,10460,2418
2012,10461,1690
2012,10462,3100
2012,10463,2735
2012,10464,35
2012,10465,234
2012,10466,1860
2012,10467,5901
2012,10468,4591
2012,10469,959
2012,10470,489
2012,10471,248
2012,10472,2469
2012,10473,871
2012,10474,568
2012,10475,69
2012,11001,14
2012,11004,10
2012,11005,1
2012,11040,1
2012,11101,381
2012,11102,452
2012,11103,608
2012,11104,832
2012,11105,447
2012,11106,660
2012,11109,2
2012,11201,447
2012,11203,2904
2012,11204,825
2012,11205,680
2012,11206,938
2012,11207,2446
2012,11208,2290
2012,11209,1713
2012,11210,1689
2012,11211,744
2012,11212,3449
2012,11213,3544
2012,11214,1314
2012,11215,620
2012,11216,2589
2012,11217,545
2012,11218,1496
2012,11219,931
2012,11220,1298
2012,11221,2734
2012,11222,564
2012,11223,771
2012,11224,732
2012,11225,3639
2012,11226,5177
2012,11228,297
2012,11229,1102
2012,11230,2153
2012,11231,369
2012,11232,449
2012,11233,2604
2012,11234,513
2012,11235,2369
2012,11236,1059
2012,11237,1206
2012,11238,1853
2012,11239,84
2012,11249,140
2012,11354,444
2012,11355,823
2012,11356,123
2012,11357,84
2012,11358,166
2012,11360,20
2012,11361,101
2012,11362,24
2012,11363,14
2012,11364,136
2012,11365,123
2012,11366,34
2012,11367,573
2012,11368,867
2012,11369,324
2012,11370,165
2012,11372,936
2012,11373,1399
2012,11374,703
2012,11375,686
2012,11377,1011
2012,11378,259
2012,11379,112
2012,11385,1334
2012,11411,65
2012,11412,448
2012,11413,394
2012,11414,163
2012,11415,415
2012,11416,202
2012,11417,253
2012,11418,428
2012,11419,400
2012,11420,275
2012,11421,420
2012,11422,216
2012,11423,295
2012,11426,27
2012,11427,168
2012,11428,128
2012,11429,187
2012,11430,1
2012,11432,692
2012,11433,441
2012,11434,587
2012,11435,509
2012,11436,121
2012,11691,1579
2012,11692,448
2012,11693,200
2012,11694,479
2012,11697,1
2013,10001,289
2013,10002,1214
2013,10003,1076
2013,10004,7
2013,10005,10
2013,10006,5
2013,10007,18
2013,10009,1733
2013,10010,383
2013,10011,764
2013,10012,484
2013,10013,203
2013,10014,638
2013,10016,813
2013,10017,66
2013,10018,127
2013,10019,834
